Bureau of Justice Statistics,,,,,,,,,,,,
Filename: p21stat01.csv,,,,,,,,,,,,
"Appendix Table 1. Prisoners under the jurisdiction of state or federal correctional authorities, by jurisdiction and race or Hispanic origin, December 31, 2021",,,,,,,,,,,,
Report title: Prisoners in 2021 – Statistical Tables  NCJ 305125,,,,,,,,,,,,
"Data source: Bureau of Justice Statistics, Federal Justice Statistics Program, 2021 (preliminary); and National Prisoner Statistics, 2021",,,,,,,,,,,,
"Author: E. Ann Carson, PhD, BJS Statistician",,,,,,,,,,,,
Refer questions to: askbjs@usdoj.gov 202-307-0765,,,,,,,,,,,,
Date of version: 12/20/2022,,,,,,,,,,,,
,,,,,,,,,,,,
"Appendix Table 1. Prisoners under the jurisdiction of state or federal correctional authorities, by jurisdiction and race or Hispanic origin, December 31, 2021",,,,,,,,,,,,
Jurisdiction,,Total,White/a,Black/a,Hispanic,American Indian/Alaska Native/a,Asian/a,Native Hawaiian/Other Pacific Islander/a,Two or more races/a,Other/a,Unknown,Did not report
"Federal/b,c",,"157,314","47,460","57,225","46,813","3,644","2,170",~,~,~,~,2
State,,,,,,,,,,,,
,Alabama,"25,032","11,470","13,353",0,3,4,0,0,202,~,0
,Alaska,"4,639","1,895",465,125,"1,855",158,95,0,0,46,0
,Arizona,"33,914","12,960","5,087","13,131","1,880",157,~,~,612,28,59
,Arkansas,"17,022","9,547","6,771",563,49,48,19,0,23,2,0
,California,"101,441","20,137","28,710","45,999","1,161","1,162",321,~,"3,951",0,0
,Colorado,"15,865","6,520","2,769","4,722",542,184,10,~,"1,025",11,82
,Connecticut,"9,889","2,778","4,208","2,824",34,43,0,0,0,2,0
,Delaware,"4,810","1,551","2,952",299,1,6,0,0,0,1,0
,Florida,"80,417","31,599","38,266","10,174",88,18,7,/,262,3,0
,Georgia,"47,010","17,159","27,715","1,945",22,157,0,0,~,12,0
,Hawaii,"4,102",915,185,98,21,699,"1,800",145,0,239,0
,Idaho/d,"8,907","6,419",258,"1,288",329,43,/,/,107,268,195
,Illinois,"28,475","8,849","15,204","3,671",42,104,/,55,/,45,505
,Indiana,"24,716","14,292","7,547",992,50,55,9,153,/,38,"1,580"
,Iowa/e,"8,562","5,492","2,173",605,195,~,~,~,96,1,0
,Kansas,"8,521","4,781","2,335","1,118",201,75,0,0,5,6,0
,Kentucky/e,"18,560","14,102","3,879",296,18,~,~,220,30,15,0
,Louisiana,"26,074","8,863","17,097",66,21,25,0,0,2,~,0
,Maine,"1,577","1,261",175,~,43,7,1,29,~,61,0
,Maryland/f,"15,134","3,414","10,730",713,76,49,16,/,114,22,0
,Massachusetts/g,"6,148","2,561","1,792","1,567",36,102,0,~,~,90,0
,Michigan,"32,186","13,746","16,278",632,287,94,7,"1,104",0,38,0
,Minnesota,"8,003","3,732","2,834",471,756,197,/,/,/,13,0
,Mississippi,"17,332","6,419","10,649",181,35,39,0,0,0,9,0
,Missouri,"23,422","14,606","7,843",494,97,61,0,/,/,36,285
,Montana/e,"4,313","3,000",116,133,"1,049",~,~,~,15,0,0
,Nebraska,"5,600","2,829","1,551",824,287,44,4,/,58,3,0
,Nevada,"10,202","3,730","3,100","2,764",233,206,113,0,0,56,0
