Bureau of Justice Statistics,,
Filename: p21stf02.csv,,
"Figure 2. Percent of prisoners under the jurisdiction of state or federal correctional authorities who were female, 1978–2021",,
Report title: Prisoners in 2021 – Statistical Tables  NCJ 305125,,
"Data source: Bureau of Justice Statistics, National Prisoner Statistics, 1978–2021",,
"Author: E. Ann Carson, PhD, BJS Statistician",,
Refer questions to: askbjs@usdoj.gov 202-307-0765,,
Date of version: 12/20/2022,,
,,
"Figure 2. Percent of prisoners under the jurisdiction of state or federal correctional authorities who were female, 1978–2021",,
Year,Percent female,
1978,4.1,%
1979,4.1,
1980,4.1,
1981,4.2,
1982,4.3,
1983,4.4,
1984,4.5,
1985,4.6,
1986,4.9,
1987,5,
1988,5.2,
1989,5.7,
1990,5.7,
1991,5.8,
1992,5.7,
1993,6,
1994,6.1,
1995,6.1,
1996,6.3,
1997,6.4,
1998,6.5,
1999,6.6,
2000,6.7,
2001,6.6,
2002,6.8,
2003,6.9,
2004,7,
2005,7,
2006,7.2,
2007,7.2,
2008,7.1,
2009,7,
2010,7,
2011,7,
2012,6.9,
2013,7.1,
2014,7.2,
2015,7.3,
2016,7.4,
2017,7.5,
2018,7.6,
2019,7.5,
2020,6.9,
2021,6.9,
"Note: Jurisdiction refers to the legal authority of state or federal correctional officials over a prisoner, regardless of where the prisoner is held. Percentages are for December 31 of each year and are based on prisoners with any sentence status. As of December 31, 2001, persons sentenced for a felony in the District of Columbia were the responsibility of the Federal Bureau of Prisons.",,
"Source: Bureau of Justice Statistics, National Prisoner Statistics, 1978–2021.",,
