Bureau of Justice Statistics,,,,,,,,,,,
Filename: p21stt01.csv,,,,,,,,,,,
"Table 1. Prisoners under the jurisdiction of state or federal correctional authorities, by jurisdiction and sex, 2011–2021",,,,,,,,,,,
Report title: Prisoners in 2021 – Statistical Tables  NCJ 305125,,,,,,,,,,,
"Data Source: Bureau of Justice Statistics, National Prisoner Statistics, 2011–2021",,,,,,,,,,,
"Author: E. Ann Carson, PhD, BJS Statistician",,,,,,,,,,,
Refer questions to: askbjs@usdoj.gov 202-307-0765,,,,,,,,,,,
Date of version: 12/20/2022,,,,,,,,,,,
,,,,,,,,,,,
"Table 1. Prisoners under the jurisdiction of state or federal correctional authorities, by jurisdiction and sex, 2011–2021",,,,,,,,,,,
Year,,Total,,Federal*,,State,,Male,,Female,
2011,,"1,598,968",,"216,362",,"1,382,606",,"1,487,561",,"111,407",
2012,,"1,570,397",,"217,815",,"1,352,582",,"1,461,625",,"108,772",
2013,,"1,576,950",,"215,866",,"1,361,084",,"1,465,592",,"111,358",
2014,,"1,562,319",,"210,567",,"1,351,752",,"1,449,291",,"113,028",
2015,,"1,526,603",,"196,455",,"1,330,148",,"1,415,112",,"111,491",
2016,,"1,508,129",,"189,192",,"1,318,937",,"1,396,296",,"111,833",
2017,,"1,489,189",,"183,058",,"1,306,131",,"1,377,815",,"111,374",
2018,,"1,464,385",,"179,898",,"1,284,487",,"1,353,595",,"110,790",
2019,,"1,430,165",,"175,116",,"1,255,049",,"1,322,256",,"107,909",
2020,,"1,221,164",,"152,156",,"1,069,008",,"1,137,410",,"83,754",
2021,,"1,204,322",,"157,314",,"1,047,008",,"1,120,973",,"83,349",
Percent change,,,,,,,,,,,
,2011–2021,-24.7,%,-27.3,%,-24.3,%,-24.6,%,-25.2,%
,2020–2021,-1.4,,3.4,,-2.1,,-1.4,,-0.5,
"Note: Jurisdiction refers to the legal authority of state or federal correctional officials over a prisoner, regardless of where the prisoner is held. Counts are for December 31 of each year and are based on prisoners with any sentence status. As of December 31, 2001, persons sentenced for a felony in the District of Columbia were the responsibility of the Federal Bureau of Prisons. Counts for 2019 and earlier may have been revised from previous reports.",,,,,,,,,,,
*Includes adult prisoners held in nonsecure community corrections facilities and adults and persons age 17 or younger held in privately operated facilities.,,,,,,,,,,,
"Source: Bureau of Justice Statistics, National Prisoner Statistics, 2011–2021.",,,,,,,,,,,
