Bureau of Justice Statistics,,,,,,,,,,,,,,,,,,,,,
Filename: p21stt03.csv,,,,,,,,,,,,,,,,,,,,,
"Table 3. Sentenced prisoners under the jurisdiction of state or federal correctional authorities, by jurisdiction, sex, and race or Hispanic origin, 2011–2021",,,,,,,,,,,,,,,,,,,,,
Report title: Prisoners in 2021 – Statistical Tables  NCJ 305125,,,,,,,,,,,,,,,,,,,,,
"Data Source: Bureau of Justice Statistics, Federal Justice Statistics Program, 2021 (preliminary); National Corrections Reporting Program, 2020; National Prisoner Statistics, 2011–2021; Survey of Inmates in State and Federal Correctional Facilities, 2004; and Survey of Prison Inmates, 2016",,,,,,,,,,,,,,,,,,,,,
"Author: E. Ann Carson, PhD, BJS Statistician",,,,,,,,,,,,,,,,,,,,,
Refer questions to: askbjs@usdoj.gov 202-307-0765,,,,,,,,,,,,,,,,,,,,,
Date of version: 12/20/2022,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
"Table 3. Sentenced prisoners under the jurisdiction of state or federal correctional authorities, by jurisdiction, sex, and race or Hispanic origin, 2011–2021",,,,,,,,,,,,,,,,,,,,,
Year,,Total/a,,Federal/b,,State,,Male,,Female,,"White/c,d",,"Black/c,d",,Hispanic/d,,"American Indian/Alaska Native/c,d",,"Asian/c,d,e",
2011,,"1,538,847",,"197,050",,"1,341,797",,"1,435,141",,"103,706",,"480,400",,"554,400",,"341,300",,"22,600",,"17,100",
2012,,"1,512,430",,"196,574",,"1,315,856",,"1,411,076",,"101,354",,"470,900",,"536,600",,"336,100",,"21,500",,"17,000",
2013,,"1,520,403",,"195,098",,"1,325,305",,"1,416,102",,"104,301",,"469,800",,"530,100",,"343,100",,"19,800",,"16,900",
2014,,"1,507,781",,"191,374",,"1,316,407",,"1,401,685",,"106,096",,"463,800",,"516,800",,"339,500",,"21,300",,"17,300",
2015,,"1,476,847",,"178,688",,"1,298,159",,"1,371,879",,"104,968",,"450,600",,"496,400",,"335,800",,"20,500",,"17,800",
2016,,"1,459,948",,"171,482",,"1,288,466",,"1,354,109",,"105,839",,"440,700",,"484,600",,"342,100",,"20,400",,"18,000",
2017,,"1,439,877",,"166,203",,"1,273,674",,"1,334,828",,"105,049",,"436,800",,"473,000",,"338,800",,"21,200",,"17,800",
2018,,"1,413,370",,"163,653",,"1,249,717",,"1,309,194",,"104,176",,"430,500",,"461,500",,"332,900",,"21,100",,"17,900",
2019,,"1,379,786",,"158,498",,"1,221,288",,"1,278,484",,"101,302",,"422,900",,"449,900",,"322,700",,"21,500",,"17,500",
2020,,"1,185,733",,"142,028",,"1,043,705",,"1,105,750",,"79,983",,"360,100",,"390,700",,"276,100",,"19,000",,"14,900",
2021,,"1,163,665",,"144,448",,"1,019,217",,"1,084,717",,"78,948",,"356,000",,"378,000",,"273,800",,"18,700",,"14,700",
Percent change,,,,,,,,,,,,,,,,,,,,,
,2011–2021,-24.4,%,-26.7,%,-24,%,-24.4,%,-23.9,%,-25.9,%,-31.8,%,-19.8,%,-17.3,%,-14,%
,2020–2021,-1.9,,1.7,,-2.3,,-1.9,,-1.3,,-1.1,,-3.3,,-0.8,,-1.6,,-1.3,
"Note: Jurisdiction refers to the legal authority of state or federal correctional officials over a prisoner, regardless of where the prisoner is held. Counts are for December 31 of each year and are based on prisoners with a sentence of more than 1 year. As of December 31, 2001, persons sentenced for a felony in the District of Columbia were the responsibility of the Federal Bureau of Prisons. Counts for 2019 and earlier may have been revised from previous reports. ",,,,,,,,,,,,,,,,,,,,,
a/Includes persons of two or more races and other races that are not broken out.,,,,,,,,,,,,,,,,,,,,,
b/Includes adult prisoners held in nonsecure community corrections facilities and adults and persons age 17 or younger held in privately operated facilities.,,,,,,,,,,,,,,,,,,,,,
"c/Excludes persons of Hispanic origin (e.g., “white” refers to non-Hispanic white persons and “black” refers to non-Hispanic black persons). ",,,,,,,,,,,,,,,,,,,,,
d/Race or Hispanic origin estimates are rounded to the nearest 100.,,,,,,,,,,,,,,,,,,,,,
"e/Includes Asians, Native Hawaiians, and Other Pacific Islanders.",,,,,,,,,,,,,,,,,,,,,
"Source: Bureau of Justice Statistics, Federal Justice Statistics Program, 2021 (preliminary); National Corrections Reporting Program, 2020; National Prisoner Statistics, 2011–2021; Survey of Inmates in State and Federal Correctional Facilities, 2004; and Survey of Prison Inmates, 2016.",,,,,,,,,,,,,,,,,,,,,
