Bureau of Justice Statistics,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Filename: p21stt10.csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Table 10. Percent of sentenced prisoners under the jurisdiction of state or federal correctional authorities, by sex, race or Hispanic origin, and age, December 31, 2021",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Report title: Prisoners in 2021 – Statistical Tables  NCJ 305125,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Data source: Bureau of Justice Statistics, Federal Justice Statistics Program, 2021 (preliminary); National Corrections Reporting Program, 2020; National Prisoner Statistics, 2021; and Survey of Prison Inmates, 2016",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Author: E. Ann Carson, PhD, BJS Statistician",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Refer questions to: askbjs@usdoj.gov 202-307-0765,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Date of version: 12/20/2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Table 10. Percent of sentenced prisoners under the jurisdiction of state or federal correctional authorities, by sex, race or Hispanic origin, and age, December 31, 2021",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Male,,,,,,,,,,,,,,Female,,,,,,,,,,,,,
Age,,Total,,All male,,White/a,,Black/a,,Hispanic,,American Indian/Alaska Native/a,,"Asian/a,b",,"Other/a,c",,All female,,White/a,,Black/a,,Hispanic,,American Indian/Alaska Native/a,,"Asian/a,b",,"Other/a,c",
,Total/d,100,%,100,%,100,%,100,%,100,%,100,%,100,%,100,%,100,%,100,%,100,%,100,%,100,%,100,%,100,%
18–19,,0.4,,0.4,,0.3,,0.6,,0.3,,0.6,,0,,0.2,,0.3,,0,,0.7,,0.7,,0,,0,,0,
20–24,,6.6,,6.6,,4.5,,8.3,,7.2,,6.6,,5,,4.6,,6,,4.6,,8.1,,7.9,,5,,0,,9.5,
25–29,,13.3,,13.2,,10.1,,15,,14.8,,13.2,,12.8,,10.4,,14.7,,12.9,,17,,17.1,,15,,16.7,,12.4,
30–34,,16.2,,16,,14.3,,16.7,,17.2,,17.4,,15.6,,13.4,,19,,18.5,,17.8,,20.4,,20,,16.7,,13.3,
35–39,,15.6,,15.4,,15.5,,14.7,,16.6,,16.8,,17,,13.7,,18.4,,19.4,,14.8,,18.4,,20,,16.7,,13.3,
40–44,,13.8,,13.8,,14,,13.3,,14.6,,13.8,,14.2,,11.9,,14.3,,15.1,,13.3,,14.5,,15,,16.7,,9.5,
45–49,,10.3,,10.3,,10.9,,9.8,,10.6,,10.2,,12.1,,12.1,,9.8,,10.5,,9.6,,8.6,,10,,16.7,,8.6,
50–54,,8.5,,8.5,,9.9,,8.1,,7.5,,8.4,,9.2,,8.6,,7.5,,8.1,,7.4,,5.9,,5,,0,,8.6,
55–59,,6.8,,6.9,,8.6,,6.5,,5.3,,6.6,,5.7,,7.4,,5.2,,5.4,,5.9,,3.9,,5,,0,,7.6,
60–64,,4.4,,4.5,,5.8,,4.1,,3.1,,3.6,,3.5,,5.2,,2.9,,3,,3,,2,,5,,0,,4.8,
65 or older,,4.1,,4.2,,6.2,,3,,2.8,,4.2,,3.5,,5.4,,2,,2.4,,2.2,,1.3,,0,,0,,2.9,
,"Number of sentenced prisoners/d,e","1,163,665",,"1,084,717",,"318,800",,"364,500",,"258,600",,"16,700",,"14,100",,"111,900",,"78,948",,"37,200",,"13,500",,"15,200",,"2,000",,600,,"10,500",
"Note: Jurisdiction refers to the legal authority of state or federal correctional officials over a prisoner, regardless of where the prisoner is held. Percentages and counts are based on prisoners with a sentence of more than 1 year. Federal data include adult prisoners held in nonsecure community corrections facilities and adults and persons age 17 or younger held in privately operated facilities. Details may not sum to totals due to rounding. See Methodology.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"a/Excludes persons of Hispanic origin (e.g., “white” refers to non-Hispanic white persons and “black” refers to non-Hispanic black persons). ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"b/Includes Asians, Native Hawaiians, and Other Pacific Islanders.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
c/Includes persons of two or more races and other races that are not broken out.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"d/Includes persons of all ages, including those age 17 or younger.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
e/Estimates of race or Hispanic origin are rounded to the nearest 100. ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Source: Bureau of Justice Statistics, Federal Justice Statistics Program, 2021 (preliminary); National Corrections Reporting Program, 2020; National Prisoner Statistics, 2021; and Survey of Prison Inmates, 2016.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
