Bureau of Justice Statistics,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Filename: p21stt11.csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Table 11. Percent of sentenced prisoners under the jurisdiction of state correctional authorities, by sex, race or Hispanic origin, and age, December 31, 2021",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Report title: Prisoners in 2021 – Statistical Tables  NCJ 305125,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Data source: Bureau of Justice Statistics, National Corrections Reporting Program, 2020; National Prisoner Statistics, 2021; and Survey of Prison Inmates, 2016",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Author: E. Ann Carson, PhD, BJS Statistician",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Refer questions to: askbjs@usdoj.gov 202-307-0765,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Date of version: 12/20/2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Table 11. Percent of sentenced prisoners under the jurisdiction of state correctional authorities, by sex, race or Hispanic origin, and age, December 31, 2021",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Male,,,,,,,,,,,,,,Female,,,,,,,,,,,,,
Age,,Total,,All male,,White/a,,Black/a,,Hispanic,,American Indian/Alaska Native/a,,"Asian/a,b",,"Other/a,c",,All female,,White/a,,Black/a,,Hispanic,,American Indian/Alaska Native/a,,"Asian/a,b",,"Other/a,c",
,Total/d,100,%,100,%,100,%,100,%,100,%,100,%,100,%,100,%,100,%,100,%,100,%,100,%,100,%,100,%,100,%
18–19,,0.5,,0.5,,0.3,,0.7,,0.4,,0.4,,0.2,,0.2,,0.3,,0.1,,0.6,,0.5,,0.3,,^,,0,
20–24,,7.1,,7.1,,4.8,,8.9,,7.7,,6.7,,5.6,,4.9,,6.3,,4.8,,8.7,,8.4,,6.1,,4.6,,10.7,
25–29,,13.8,,13.7,,10.5,,15.5,,15.3,,13.3,,13.8,,11.2,,15.2,,13.3,,17.8,,18,,16.3,,18.3,,13.8,
30–34,,16.2,,15.9,,14.6,,16.4,,17.2,,17.1,,16,,14.4,,19.3,,18.9,,18.3,,20.8,,18.9,,19.5,,15.2,
35–39,,15.3,,15.1,,15.4,,14.2,,16.4,,15.9,,17.4,,14.8,,18.4,,19.5,,14.9,,19.2,,20.8,,15.7,,15.2,
40–44,,13.3,,13.3,,13.7,,12.6,,14,,13.5,,13.7,,12.8,,14,,14.8,,12.7,,13.8,,12.4,,11.8,,10.3,
45–49,,9.9,,9.9,,10.6,,9.3,,10.1,,10,,11.8,,13,,9.5,,10.2,,8.9,,8,,9.1,,10,,9.7,
50–54,,8.4,,8.5,,9.8,,8.1,,7.3,,8.4,,8.5,,9.3,,7.2,,7.8,,7.4,,5.4,,5.6,,6.9,,9.3,
55–59,,6.9,,7.1,,8.5,,6.8,,5.3,,6.5,,5.7,,8,,5.1,,5.3,,5.6,,3.4,,5.7,,6.4,,7.9,
60–64,,4.5,,4.6,,5.7,,4.4,,3.2,,3.8,,3.7,,5.6,,2.8,,2.9,,3.3,,1.6,,2.9,,2.6,,4.8,
65 or older,,4.2,,4.3,,6.1,,3.2,,3,,4.2,,3.6,,5.8,,2,,2.3,,1.7,,1,,1.9,,4.1,,3.1,
,"Number of sentenced prisoners/d,e","1,019,217",,"950,415",,"288,300",,"319,900",,"212,800",,"13,800",,"12,000",,"103,600",,"68,802",,"33,500",,"12,000",,"11,600",,"1,800",,500,,"9,500",
"Note: Jurisdiction refers to the legal authority of state correctional officials over a prisoner, regardless of where the prisoner is held. Percentages and counts are based on prisoners with a sentence of more than 1 year. Details may not sum to totals due to rounding. See Methodology.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
^Estimate is based on 10 or fewer prisoners.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"a/Excludes persons of Hispanic origin (e.g., “white” refers to non-Hispanic white persons and “black” refers to non-Hispanic black persons). ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"b/Includes Asians, Native Hawaiians, and Other Pacific Islanders.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
c/Includes persons of two or more races and other races that are not broken out.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"d/Includes persons of all ages, including those age 17 or younger.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
e/Estimates of race or Hispanic origin are rounded to the nearest 100. ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Source: Bureau of Justice Statistics, National Corrections Reporting Program, 2020; National Prisoner Statistics, 2021; and Survey of Prison Inmates, 2016.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
