Bureau of Justice Statistics,,,,,,,,,,,,,,,,,,,,,,,,,,,
Filename: p21stt12.csv,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Table 12. Percent of sentenced prisoners under the jurisdiction of federal correctional authorities, by sex, race or Hispanic origin, and age, December 31, 2021",,,,,,,,,,,,,,,,,,,,,,,,,,,
Report title: Prisoners in 2021 – Statistical Tables  NCJ 305125,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Data source: Bureau of Justice Statistics, Federal Justice Statistics Program, 2021 (preliminary); National Prisoner Statistics, 2021; and Survey of Prison Inmates, 2016",,,,,,,,,,,,,,,,,,,,,,,,,,,
"Author: E. Ann Carson, PhD, BJS Statistician",,,,,,,,,,,,,,,,,,,,,,,,,,,
Refer questions to: askbjs@usdoj.gov 202-307-0765,,,,,,,,,,,,,,,,,,,,,,,,,,,
Date of version: 12/20/2022,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Table 12. Percent of sentenced prisoners under the jurisdiction of federal correctional authorities, by sex, race or Hispanic origin, and age, December 31, 2021",,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Male,,,,,,,,,,,,Female,,,,,,,,,,,
Age,,Total/a,,All male/b,,White/c,,Black/c,,Hispanic,,American Indian/Alaska Native/c,,"Asian/c,d",,All female/e,,White/c,,Black/c,,Hispanic,,American Indian/Alaska Native/c,,"Asian/c,d",
,Total/f,100,%,100,%,100,%,100,%,100,%,100,%,100,%,100,%,100,%,100,%,100,%,100,%,100,%
18–19,,0.1,,0.1,,^,,0.1,,0.1,,^,,^,,^,,0,,0,,^,,0,,0,
20–24,,3.3,,3.3,,1.4,,3.7,,4.5,,5.1,,1.8,,3.8,,2,,3.3,,6.9,,5.4,,1,
25–29,,10.2,,10.1,,5.8,,11.9,,12.2,,12.3,,6.6,,11.3,,8.4,,11.8,,15.2,,14.1,,6.7,
30–34,,16.1,,16.1,,12.1,,18.3,,17.2,,17.4,,12.9,,17.2,,16.3,,16.7,,19,,21.4,,8.3,
35–39,,17.8,,17.7,,16.4,,18.4,,17.9,,20.2,,16.9,,18.2,,19.4,,17.3,,16.8,,18.3,,17.6,
40–44,,17.4,,17.4,,17.1,,18,,17.1,,14.9,,18.1,,16.9,,17.3,,16.1,,16.5,,19.2,,17.6,
45–49,,12.8,,12.9,,12.7,,13,,13,,9.9,,14.6,,11.8,,12.5,,12.6,,10.2,,11,,15.5,
50–54,,9,,9,,11.3,,7.9,,8.3,,6.9,,13.4,,8.9,,10.3,,8.8,,6.9,,5.1,,15.5,
55–59,,6.1,,6.1,,9.4,,4.5,,5,,5.6,,6.8,,5.8,,6.5,,6.8,,4.7,,2,,6.2,
60–64,,3.8,,3.8,,6.7,,2.5,,2.7,,3.8,,4.2,,3.5,,4.2,,3.5,,2.3,,3.1,,5.7,
65 or older,,3.4,,3.4,,7.1,,1.7,,1.9,,3.7,,4.6,,2.6,,3.2,,3.1,,1.4,,0.3,,5.7,
,"Number of sentenced prisoners/f,g","144,448",,"134,302",,"30,500",,"44,600",,"45,800",,"2,900",,"2,100",,"10,146",,"3,800",,"1,500",,"3,600",,300,,100,
"Note: Jurisdiction refers to the legal authority of federal correctional officials over a prisoner, regardless of where the prisoner is held. Percentages and counts are based on prisoners with a sentence of more than 1 year. Includes adult prisoners held in nonsecure community corrections facilities and adults and persons age 17 or younger held in privately operated facilities. The Federal Bureau of Prisons does not separate persons of two or more races or other races from the individual race categories when reporting to the National Prisoner Statistics. Details may not sum to totals due to rounding. See Methodology.",,,,,,,,,,,,,,,,,,,,,,,,,,,
^Estimate is based on 10 or fewer prisoners.,,,,,,,,,,,,,,,,,,,,,,,,,,,
"a/Includes 9,300 federal prisoners with missing race or Hispanic origin data.",,,,,,,,,,,,,,,,,,,,,,,,,,,
"b/Includes 8,400 male federal prisoners with missing race or Hispanic origin data.",,,,,,,,,,,,,,,,,,,,,,,,,,,
"c/Excludes persons of Hispanic origin (e.g., “white” refers to non-Hispanic white persons and “black” refers to non-Hispanic black persons). ",,,,,,,,,,,,,,,,,,,,,,,,,,,
"d/Includes Asians, Native Hawaiians, and Other Pacific Islanders.",,,,,,,,,,,,,,,,,,,,,,,,,,,
"e/Includes 1,000 female federal prisoners with missing race or Hispanic origin data.",,,,,,,,,,,,,,,,,,,,,,,,,,,
"f/Includes persons of all ages, including those age 17 or younger.",,,,,,,,,,,,,,,,,,,,,,,,,,,
g/Estimates of race or Hispanic origin are rounded to the nearest 100. ,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Source: Bureau of Justice Statistics, Federal Justice Statistics Program, 2021 (preliminary); National Prisoner Statistics, 2021; and Survey of Prison Inmates, 2016.",,,,,,,,,,,,,,,,,,,,,,,,,,,
