Bureau of Justice Statistics,,,,,,,,,,,,,,,,
Filename: p21stt13.csv,,,,,,,,,,,,,,,,
"Table 13. Imprisonment rates of U.S. residents, based on sentenced prisoners under the jurisdiction of state or federal correctional authorities, by demographic characteristics, December 31, 2021",,,,,,,,,,,,,,,,
Report title: Prisoners in 2021 – Statistical Tables  NCJ 305125,,,,,,,,,,,,,,,,
"Data source: Bureau of Justice Statistics, Federal Justice Statistics Program, 2021 (preliminary), National Corrections Reporting Program, 2020, National Prisoner Statistics, 2021, and Survey of Prison Inmates, 2016; and U.S. Census Bureau, postcensal resident population estimates for January 1, 2022",,,,,,,,,,,,,,,,
"Author: E. Ann Carson, PhD, BJS Statistician",,,,,,,,,,,,,,,,
Refer questions to: askbjs@usdoj.gov 202-307-0765,,,,,,,,,,,,,,,,
Date of version: 12/20/2022,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
"Table 13. Imprisonment rates of U.S. residents, based on sentenced prisoners under the jurisdiction of state or federal correctional authorities, by demographic characteristics, December 31, 2021",,,,,,,,,,,,,,,,
,,,"Per 100,000 U.S. residents within each demographic group",,,,,,,,,,,,,
,,,Male,,,,,,,Female,,,,,,
Age,,Total,All male,White/a,Black/a,Hispanic,American Indian/Alaska Native/a,"Asian/a,b","Other/a,c",All female,White/a,Black/a,Hispanic,American Indian/Alaska Native/a,"Asian/a,b","Other/a,c"
,Total/d,350,659,327,"1,807",810,"1,381",144,"2,866",47,38,62,49,161,5,264
18–19,,55,103,33,381,84,169,13,123,5,2,13,6,14,0,0
20–24,,357,657,247,"1,985",725,"1,181",113,"1,396",45,31,74,50,136,4,285
25–29,,699,"1,272",531,"3,379","1,541","2,330",243,"3,698",106,82,144,111,349,13,419
30–34,,811,"1,478",714,"3,692","1,793","2,978",259,"6,044",131,111,145,135,411,11,547
35–39,,815,"1,484",780,"3,831","1,774","3,370",292,"7,949",131,117,138,129,495,10,678
40–44,,755,"1,397",731,"3,693","1,643","3,058",271,"8,037",107,94,123,103,348,8,532
45–49,,607,"1,138",607,"3,035","1,347","2,440",245,"10,086",78,70,96,66,266,8,611
50–54,,471,887,483,"2,413","1,051","1,928",202,"7,767",56,47,75,49,151,6,643
55–59,,372,716,392,"1,946",869,"1,460",146,"7,466",38,29,56,37,134,6,606
60–64,,242,476,253,"1,328",657,907,108,"5,538",21,15,33,21,75,3,396
65 or older,,83,178,101,488,317,453,43,"2,687",5,4,8,6,19,2,110
,"Number of sentenced prisoners/d,e ","1,163,665","1,084,717","318,800","364,500","258,600","16,700","14,100","111,900","78,948","37,200","13,500","15,200","2,000",600,"10,500"
"Note: Jurisdiction refers to the legal authority of state or federal correctional officials over a prisoner, regardless of where the prisoner is held. Imprisonment rate is the number of sentenced prisoners under state or federal jurisdiction per 100,000 U.S. residents or per 100,000 U.S. residents in a given category. Rates are based on prisoners with a sentence of more than 1 year. Resident population estimates are from the U.S. Census Bureau for January 1, 2022.",,,,,,,,,,,,,,,,
"a/Excludes persons of Hispanic origin (e.g., “white” refers to non-Hispanic white persons and “black” refers to non-Hispanic black persons). ",,,,,,,,,,,,,,,,
"b/Includes Asians, Native Hawaiians, and Other Pacific Islanders.",,,,,,,,,,,,,,,,
c/Includes persons of two or more races and other races that are not broken out.,,,,,,,,,,,,,,,,
"d/Includes persons of all ages, including those age 17 or younger. ",,,,,,,,,,,,,,,,
e/Estimates of race or Hispanic origin are rounded to the nearest 100. ,,,,,,,,,,,,,,,,
"Source: Bureau of Justice Statistics, Federal Justice Statistics Program, 2021 (preliminary), National Corrections Reporting Program, 2020, National Prisoner Statistics, 2021, and Survey of Prison Inmates, 2016; and U.S. Census Bureau, postcensal resident population estimates for January 1, 2022.",,,,,,,,,,,,,,,,
