Bureau of Justice Statistics,,,,,,,,,,,,,,,
Filename: p21stt14.csv,,,,,,,,,,,,,,,
"Table 14. Prisoners held in the custody of private prisons or local jails under the jurisdiction of state or federal correctional authorities, by jurisdiction, 2020 and 2021",,,,,,,,,,,,,,,
Report title: Prisoners in 2021 – Statistical Tables  NCJ 305125,,,,,,,,,,,,,,,
"Data source: Bureau of Justice Statistics, National Prisoner Statistics, 2020 and 2021",,,,,,,,,,,,,,,
"Author: E. Ann Carson, PhD, BJS Statistician",,,,,,,,,,,,,,,
Refer questions to: askbjs@usdoj.gov 202-307-0765,,,,,,,,,,,,,,,
Date of version: 12/20/2022,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
"Table 14. Prisoners held in the custody of private prisons or local jails under the jurisdiction of state or federal correctional authorities, by jurisdiction, 2020 and 2021",,,,,,,,,,,,,,,
,,Prisoners held in private prisons/a,,,,,,,Prisoners held in local jails,,,,,,
Jurisdiction,,2020,2021,"Change, 2020–2021","Percent change, 2020–2021",,"Percent of total jurisdiction population, 2021",,2020,2021,"Change, 2020–2021","Percent change, 2020–2021",,"Percent of total jurisdiction population, 2021",
,U.S. total,"100,151","96,732","-3,419",-3.4,%,8,%,"73,321","65,399","-7,922",-10.8,%,5.4,%
Federal/b,,"27,810","21,565","-6,245",-22.5,%,13.7,%,843,751,-92,-10.9,%,0.5,%
State,,"72,341","75,167","2,826",3.9,%,7.2,%,"72,478","64,648","-7,830",-10.8,%,6.2,%
,Alabama,254,267,13,5.1,,1.1,,"3,846","2,101","-1,745",-45.4,,8.4,
,Alaska/c,206,250,44,21.4,,5.4,,21,40,19,90.5,,0.9,
,Arizona,"7,185","7,367",182,2.5,,21.7,,0,0,0,0,,0,
,Arkansas,0,0,0,0,,0,,"2,256","2,505",249,11,,14.7,
,California,0,0,0,0,,0,,375,0,-375,-100,,0,
,Colorado,"2,784","2,557",-227,-8.2,,16.1,,"1,091",125,-966,-88.5,,0.8,
,Connecticut/c,397,362,-35,-8.8,,3.7,,0,0,0,0,,0,
,Delaware/c,~,~,:,:,,:,,~,~,:,:,,:,
,Florida,"10,810","11,712",902,8.3,,14.6,,805,889,84,10.4,,1.1,
,Georgia,"6,525","7,344",819,12.6,,15.6,,"3,999","4,725",726,18.2,,10.1,
,Hawaii/c,999,"1,114",115,11.5,,27.2,,0,0,0,0,,0,
,Idaho,727,876,149,20.5,,9.8,,682,509,-173,-25.4,,5.7,
,Illinois,95,223,128,134.7,,0.8,,0,0,0,0,,0,
,Indiana/d,"3,719","3,848",129,3.5,,15.6,,"1,361","1,580",219,16.1,,6.4,
,Iowa,0,0,0,0,,0,,67,69,2,3,,0.8,
,Kansas,0,0,0,0,,0,,65,6,-59,-90.8,,0.1,
,Kentucky,725,741,16,2.2,,4,,"8,750","8,750",0,0,,47.1,
,Louisiana,0,0,0,0,,0,,"13,061","12,843",-218,-1.7,,49.3,
,Maine,0,0,0,0,,0,,^,^^,:,:,,0,
,Maryland,0,0,0,0,,0,,143,115,-28,-19.6,,0.8,
,Massachusetts,~,~,:,:,,:,,193,171,-22,-11.4,,2.8,
,Michigan,0,0,0,0,,0,,0,0,0,0,,0,
,Minnesota,0,0,0,0,,0,,645,527,-118,-18.3,,6.6,
,Mississippi,"3,240","2,241",-999,-30.8,,12.9,,"5,838","5,818",-20,-0.3,,33.6,
,Missouri,0,0,0,0,,0,,0,0,0,0,,0,
,Montana,"1,962","2,071",109,5.6,,48,,279,330,51,18.3,,7.7,
,Nebraska,0,0,0,0,,0,,57,78,21,36.8,,1.4,
,Nevada,0,0,0,0,,0,,9,7,-2,-22.2,,0.1,
