Bureau of Justice Statistics,,,,,,,,,,,,,
Filename: p21stt18.csv,,,,,,,,,,,,,
"Table 18. Sentenced prisoners in the custody of state correctional authorities and privately operated facilities contracted to states, by most serious offense and jurisdiction, December 31, 2020",,,,,,,,,,,,,
Report title: Prisoners in 2021 – Statistical Tables  NCJ 305125,,,,,,,,,,,,,
"Data source:  Bureau of Justice Statistics, National Corrections Reporting Program, 2020",,,,,,,,,,,,,
"Author: E. Ann Carson, PhD, BJS Statistician",,,,,,,,,,,,,
Refer questions to: askbjs@usdoj.gov 202-307-0765,,,,,,,,,,,,,
Date of version: 12/20/2022,,,,,,,,,,,,,
,,,,,,,,,,,,,
"Table 18. Sentenced prisoners in the custody of state correctional authorities and privately operated facilities contracted to states, by most serious offense and jurisdiction, December 31, 2020",,,,,,,,,,,,,
Jurisdiction,Total number of sentenced prisoners in custody,Total/a,,Violent,,Property,,Drug,,Public order,,Other/unspecified,
Alabama,"21,837",100,%,59.6,%,17,%,14.1,%,8.1,%,1.3,%
Alaska/b,"2,100",100,%,81.7,,11.8,,2.1,,4.4,,#,
Arizona/c,"40,753",100,%,43.8,,20.8,,23.1,,12,,0.2,
Arkansas,"14,078",100,%,55.6,,13.2,,19.9,,8.3,,2.9,
California,"96,110",100,%,84.3,,7.3,,2.1,,6,,0.3,
Colorado,"16,175",100,%,63.6,,16.6,,7.1,,12.6,,0.2,
Connecticut/b,"5,720",100,%,55.4,,10.3,,7.3,,18.3,,8.7,
Delaware/b,"2,798",100,%,51.1,,6.9,,10.3,,31.2,,0.5,
Florida,"79,416",100,%,60.9,,18.3,,11.2,,9.1,,0.4,
Georgia,"46,932",100,%,69.1,,12.5,,9.7,,8.1,,0.7,
Hawaii/b,"2,097",100,%,52.7,,25,,9.6,,12.6,,0.1,
Idaho,"8,334",100,%,28.7,,22.1,,31.7,,17.2,,0.3,
Illinois,"29,341",100,%,65.2,,10.2,,10.5,,14.1,,0.1,
Indiana,"26,987",100,%,45.4,,14.6,,25.1,,12.5,,2.4,
Iowa,"8,751",100,%,35.4,,19.1,,15.9,,12.5,,17.1,
Kansas,"8,615",100,%,62.9,,7.7,,23.1,,6.2,,0.1,
Kentucky,"18,647",100,%,43.7,,19.7,,24.3,,11.9,,0.4,
Louisiana,"26,890",100,%,57.9,,13.1,,13.6,,14.7,,0.7,
Maine,"1,676",100,%,54,,15,,22.6,,5.5,,2.9,
Maryland,"15,073",100,%,74.7,,8.9,,8.5,,7.2,,0.7,
Massachusetts,"7,199",100,%,71.9,,5.9,,14.6,,6.8,,0.8,
Michigan/c,"39,670",100,%,61.1,,15.8,,9.5,,13.2,,0.3,
Minnesota,"7,752",100,%,56.6,,8.1,,17.1,,18.1,,0.2,
Mississippi,"17,243",100,%,57,,18.9,,16.6,,6.5,,1.1,
Missouri,"23,139",100,%,60.7,,16.1,,15.3,,7.7,,0.2,
Montana,"2,426",100,%,66.6,,12.6,,10.3,,10.4,,0.1,
Nebraska,"4,976",100,%,54.1,,13.2,,15.8,,16,,1,
Nevada,"11,128",100,%,47,,16,,7.1,,28,,1.9,
New Hampshire,"2,215",100,%,55.1,,15.9,,15.6,,10,,3.4,
New Jersey/c,"22,057",100,%,50.8,,8.2,,14.9,,8.4,,17.7,
New Mexico/d,"7,086",100,%,53.4,,20.1,,16.2,,10.1,,0.2,
New York,"34,054",100,%,60.2,,13.9,,12.1,,13.2,,0.6,
North Carolina,"29,614",100,%,53.5,,11.7,,13.4,,21.3,,0.1,
North Dakota,"1,504",100,%,53.8,,13.4,,24.2,,8.1,,0.5,
Ohio,"44,607",100,%,59.3,,13.3,,14.7,,11.5,,1.2,
Oklahoma,"21,631",100,%,60.6,,16.5,,13,,9.5,,0.4,
Oregon,"12,803",100,%,70,,15.4,,6.9,,6.8,,0.9,
Pennsylvania,"39,837",100,%,62.9,,11.8,,11.1,,12.5,,1.7,
Rhode Island/b,"1,410",100,%,70.4,,9.6,,9.9,,9.1,,1.1,
South Carolina,"16,259",100,%,60.3,,19,,16.5,,3.6,,0.7,
South Dakota,"3,160",100,%,49.4,,14.5,,27.3,,6.7,,2.2,
Tennessee,"27,507",100,%,51.1,,19,,20.6,,6.8,,2.5,
Texas,"119,056",100,%,65.7,,10.8,,13.2,,10.3,,#,
Utah,"5,379",100,%,63.6,,15.1,,12.1,,9.1,,0.1,
Vermont/b,963,100,%,63.8,,16.8,,5.6,,13,,0.8,
Virginia,"31,001",100,%,61.2,,16.6,,15.3,,4.2,,2.7,
Washington,"15,121",100,%,62.1,,15.5,,6.8,,15,,0.6,
West Virginia,"6,009",100,%,49.8,,22.1,,10.1,,14.4,,3.7,
Wisconsin,"20,123",100,%,60.8,,12.2,,12.9,,13.9,,0.2,
Wyoming,"2,096",100,%,55.6,,14.6,,21.7,,7.4,,0.8,
