Bureau of Justice Statistics,,,,,,,,,
Filename: p21stt22.csv,,,,,,,,,
"Table 22. Citizenship status of prisoners in the custody of publicly or privately operated state or federal prisons, excluding jails, by sex and jurisdiction, December 31, 2021",,,,,,,,,
Report title: Prisoners in 2021 – Statistical Tables  NCJ 305125,,,,,,,,,
"Data source: Bureau of Justice Statistics, National Prisoner Statistics, 2021",,,,,,,,,
"Author: E. Ann Carson, PhD, BJS Statistician",,,,,,,,,
Refer questions to: askbjs@usdoj.gov 202-307-0765,,,,,,,,,
Date of version: 12/20/2022,,,,,,,,,
,,,,,,,,,
"Table 22. Citizenship status of prisoners in the custody of publicly or privately operated state or federal prisons, excluding jails, by sex and jurisdiction, December 31, 2021",,,,,,,,,
,,U.S. citizen prisoners,,,Non-U.S. citizen prisoners,,,,
Jurisdiction,,Total ,Male,Female,Total ,Male,Female,Non-U.S. citizens as a percent of prison population/a ,
"Federal/b,c,d,e",,"131,861","121,848","10,013","24,031","23,142",889,15.3,%
State,,,,,,,,,
,Alabama/f,"15,747","14,988",759,825,780,45,4.3,%
,Alaska/g,/,/,/,/,/,/,:,
,"Arizona/c,d","31,432","28,394","3,038","2,420","2,344",76,7.1,
,Arkansas/f,"14,148","12,981","1,167",258,251,7,1.8,
,California/h,"79,666",/,/,"20,062",/,/,20.1,
,Colorado/e,"14,752","13,529","1,223",970,939,31,6.1,
,Connecticut/g,"9,521","8,913",608,263,252,11,2.7,
,"Delaware/c,g","4,234","4,059",175,56,56,0,1.2,
,"Florida/c,d","74,158","69,343","4,815","4,686","4,568",118,5.9,
,Georgia/c,"44,068","41,155","2,913","2,292","2,190",102,5.4,
,"Hawaii/e,g","2,891","2,593",298,95,90,5,2.3,
,Idaho,"7,634","6,632","1,002",235,229,6,2.9,
,Illinois/e,"21,927","21,045",882,998,975,23,3.5,
,Indiana,"22,662","20,551","2,111",474,467,7,2.1,
,Iowa/f,"8,368","7,663",705,196,189,7,2.3,
,Kansas/f,"8,043","7,339",704,291,286,5,3.5,
,Kentucky/e,"18,402","16,338","2,064",158,^^,^,0.9,
,Louisiana/e,"25,016","23,845","1,171",221,^^,^,0.8,
,Maine/e,"1,486","1,377",109,18,18,0,1.1,
,Maryland/f,"9,887","9,508",379,715,703,12,4.8,
,Massachusetts/f,"5,471","5,298",173,492,485,7,8.3,
,Michigan/f,"31,835","30,274","1,561",351,^^,^,1.1,
,Minnesota/f,"7,020","6,608",412,325,316,9,4.5,
,Mississippi/f,"8,535","7,595",940,21,^^,^,0.2,
