Bureau of Justice Statistics,,,,,,,,,
Filename: p21stt23.csv,,,,,,,,,
"Table 23. Prisoners under military jurisdiction, by branch of service, 2020 and 2021",,,,,,,,,
Report title: Prisoners in 2021 – Statistical Tables  NCJ 305125,,,,,,,,,
"Data source: Bureau of Justice Statistics, based on data from the Office of the Under Secretary of Defense for Personnel and Readiness, U.S. Department of Defense, 2020 and 2021",,,,,,,,,
"Author: E. Ann Carson, PhD, BJS Statistician",,,,,,,,,
Refer questions to: askbjs@usdoj.gov 202-307-0765,,,,,,,,,
Date of version: 12/20/2022,,,,,,,,,
,,,,,,,,,
"Table 23. Prisoners under military jurisdiction, by branch of service, 2020 and 2021",,,,,,,,,
,,Total population/a,,,,Sentenced population/b,,,
Jurisdiction,,2020,2021,"Percent change, 2020–2021",,2020,2021,"Percent change, 2020–2021",
,All prisoners,"1,180","1,131",-4.2,%,951,927,-2.5,%
Branch of service,,,,,,,,,
,U.S. Air Force,227,214,-5.7,%,201,192,-4.5,%
,U.S. Army,557,534,-4.1,,495,481,-2.8,
,U.S. Marine Corps,233,240,3,,139,146,5,
,U.S. Navy,156,135,-13.5,,110,106,-3.6,
,U.S. Coast Guard,7,^^,:,,6,^,:,
,U.S. Space Force,0,^,:,,0,^^,:,
In custody of—,,,,,,,,,
,U.S. Air Force,21,15,-28.6,%,5,^,:,
,U.S. Army,672,649,-3.4,,632,614,-2.8,%
,U.S. Marine Corps,157,162,3.2,,74,^^,9.5,
,U.S. Navy,330,305,-7.6,,240,240,0,
Note: Counts are for December 31 of each year.,,,,,,,,,
:Not calculated. ,,,,,,,,,
^Four or fewer persons.,,,,,,,,,
^^Suppressed to protect confidentiality.,,,,,,,,,
"a/Includes all prisoners under military jurisdiction, regardless of conviction status or sentence length.",,,,,,,,,
b/Includes prisoners sentenced to more than 1 year under military jurisdiction.,,,,,,,,,
"Source: Bureau of Justice Statistics, based on data from the Office of the Under Secretary of Defense for Personnel and Readiness, U.S. Department of Defense, 2020 and 2021.",,,,,,,,,
