Bureau of Justice Statistics,,,,,,,
Filename: p21stt25.csv,,,,,,,
"Table 25. Prisoners under the jurisdiction or in the custody of correctional authorities in U.S. territories and commonwealths, by prison facility capacity, December 31, 2021",,,,,,,
Report title: Prisoners in 2021 – Statistical Tables  NCJ 305125,,,,,,,
"Data source: Bureau of Justice Statistics, National Prisoner Statistics, 2021",,,,,,,
"Author: E. Ann Carson, PhD, BJS Statistician",,,,,,,
Refer questions to: askbjs@usdoj.gov 202-307-0765,,,,,,,
Date of version: 12/20/2022,,,,,,,
,,,,,,,
"Table 25. Prisoners under the jurisdiction or in the custody of correctional authorities in U.S. territories and commonwealths, by prison facility capacity, December 31, 2021",,,,,,,
,,Jurisdiction population,,,Type of capacity,,
U.S. territory/U.S. commonwealth,,Total,Sentenced to more than 1 year/a,Total custody population,Rated,Operational,Design
,Total,"15,672",493,"8,361",:,:,:
American Samoa/b,,301,79,301,/,/,/
Guam/c,,500,304,539,843,/,768
Northern Mariana Islands,,153,110,153,559,356,559
Puerto Rico/d,,"14,347",/,"7,176","11,909","10,290","14,632"
U.S. Virgin Islands/e,,371,/,192,/,/,/
"Note: Jurisdiction refers to the legal authority of U.S. territorial or commonwealth correctional officials over a prisoner, regardless of where the prisoner is held. Custody refers to the physical location where the prisoner is held. Rated capacity is the number of prisoners or beds a facility can hold as set by a rating official. Operational capacity is the number of prisoners a facility can hold based on staffing and services. Design capacity is the number of prisoners a facility can hold as set by the architect or planner.",,,,,,,
:Not calculated.,,,,,,,
/Not reported.,,,,,,,
a/Excludes Puerto Rico and the U.S. Virgin Islands.,,,,,,,
b/American Samoa has not submitted National Prisoner Statistics (NPS) data since 2011. Jurisdiction and custody data were located in an article describing COVID-19 conditions at the Territorial Correctional Facility in April 2022 (https://www.samoanews.com/local-news/task-force-briefs-fono-plan-stop-covid-spread-tcf).,,,,,,,
"c/Guam did not submit NPS data in 2021. Jurisdiction, custody, and capacity counts are from December 31, 2020.",,,,,,,
d/Puerto Rico did not submit capacity data in 2021. Capacity counts are from 2019. ,,,,,,,
"e/The U.S. Virgin Islands has not submitted NPS data since 2013. Data are from the March 27, 2019 testimony of Virgin Islands Bureau of Corrections Director-designee Wynnie Testamark to the Virgin Islands Committee on Homeland Security, Justice, and Public Safety (https://www.legvi.org) and represent the number of prisoners in the custody and under the jurisdiction of the U.S. Virgin Islands at the end of March 2019.",,,,,,,
"Source: Bureau of Justice Statistics, National Prisoner Statistics, 2021.",,,,,,,
